ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"95.0.37.74","elite","AS9121","TR","Turk Telekomunikasyon Anonim Sirketi","66","Tc Avrasya Universitesi","4145","socks4","1224","1","2022-11-17T14:04:13.230Z","97","416","428"
"185.169.181.11","elite","AS34984","TR","Ates Dc","57","Ibrahim MALA trading as Ates Dc","4145","socks4","1360","1","2022-11-17T14:03:59.247Z","100","427","427"
"185.169.181.22","elite","AS34984","TR","Ates Dc","55","Ibrahim MALA trading as Ates Dc","4145","socks4","1246","1","2022-11-17T14:02:04.498Z","100","426","427"
"212.156.86.130","elite","AS9121","TR","Turk Telekomunikasyon A.S","65","TurkTelekom","4145","socks4","1285","1","2022-11-17T14:02:39.792Z","97","414","425"
"185.169.181.28","elite","AS34984","TR","Ates Dc","55","Ibrahim MALA trading as Ates Dc","4145","socks4","1270","1","2022-11-17T14:06:26.504Z","100","423","423"
"84.51.0.197","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","55","Siba Bilisim Telekominikasyon Elektronik Ithalat Ihracat Limited","4145","socks4","1226","1","2022-11-17T14:05:42.491Z","100","422","422"
"185.169.181.18","elite","AS34984","TR","Ates Dc","54","Ibrahim MALA trading as Ates Dc","4145","socks4","1307","1","2022-11-17T14:01:38.744Z","100","420","421"
"185.169.181.12","elite","AS34984","TR","Ates Dc","56","Ibrahim MALA trading as Ates Dc","4145","socks4","1311","1","2022-11-17T14:08:18.369Z","100","416","417"
"185.169.181.15","elite","AS34984","TR","Ates Dc","56","Ibrahim MALA trading as Ates Dc","4145","socks4","1256","1","2022-11-17T14:03:48.481Z","100","412","412"
"84.51.0.200","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","55","Siba Bilisim Telekominikasyon Elektronik Ithalat Ihracat Limited","4145","socks4","1323","1","2022-11-17T14:05:31.201Z","99","408","413"
"185.169.181.10","elite","AS34984","TR","Ates Dc","56","Ibrahim MALA trading as Ates Dc","4145","socks4","1271","1","2022-11-17T14:05:06.620Z","100","407","408"
"185.169.181.24","elite","AS34984","TR","Ates Dc","56","Ibrahim MALA trading as Ates Dc","4145","socks4","1306","1","2022-11-17T14:03:27.746Z","100","408","408"
"185.169.181.29","elite","AS34984","TR","Ates Dc","56","Ibrahim MALA trading as Ates Dc","4145","socks4","1312","1","2022-11-17T14:04:36.763Z","100","409","409"
"185.169.181.23","elite","AS34984","TR","Ates Dc","57","Ibrahim MALA trading as Ates Dc","4145","socks4","1236","1","2022-11-17T14:08:39.524Z","100","408","408"
"84.51.0.199","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","56","Siba Bilisim Telekominikasyon Elektronik Ithalat Ihracat Limited","4145","socks4","1293","1","2022-11-17T14:03:50.773Z","100","406","406"
"185.169.181.17","elite","AS34984","TR","Ates Dc","55","Ibrahim MALA trading as Ates Dc","4145","socks4","1185","1","2022-11-17T14:07:12.179Z","100","406","406"
"185.169.181.13","elite","AS34984","TR","Ates Dc","53","Ibrahim MALA trading as Ates Dc","4145","socks4","1189","1","2022-11-17T14:04:20.995Z","99","403","406"
"185.169.181.27","elite","AS34984","TR","Ates Dc","56","Ibrahim MALA trading as Ates Dc","4145","socks4","1192","1","2022-11-17T14:06:47.932Z","100","403","403"
"185.169.181.21","elite","AS34984","TR","Ates Dc","57","Ibrahim MALA trading as Ates Dc","4145","socks4","1250","1","2022-11-17T14:08:23.397Z","100","391","391"
"84.51.0.195","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","54","Siba Bilisim Telekominikasyon Elektronik Ithalat Ihracat Limited","4145","socks4","1131","1","2022-11-17T14:03:16.759Z","98","377","386"
"185.169.181.19","elite","AS34984","TR","Ates Dc","57","Ibrahim MALA trading as Ates Dc","4145","socks4","1253","1","2022-11-17T14:06:04.056Z","100","384","384"
"185.169.181.20","elite","AS34984","TR","Ates Dc","54","Ibrahim MALA trading as Ates Dc","4145","socks4","1236","1","2022-11-17T14:08:41.985Z","100","380","381"
"185.169.181.14","elite","AS34984","TR","Ates Dc","56","Ibrahim MALA trading as Ates Dc","4145","socks4","1280","1","2022-11-17T14:07:24.862Z","100","373","373"
"185.169.181.25","elite","AS34984","TR","Ates Dc","56","Ibrahim MALA trading as Ates Dc","4145","socks4","1363","1","2022-11-17T14:08:07.992Z","100","374","375"
"84.51.0.198","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","55","Siba Bilisim Telekominikasyon Elektronik Ithalat Ihracat Limited","4145","socks4","1292","1","2022-11-17T14:06:01.367Z","100","365","365"
"185.169.181.26","elite","AS34984","TR","Ates Dc","56","Ibrahim MALA trading as Ates Dc","4145","socks4","1287","1","2022-11-17T14:02:47.944Z","100","331","331"
"185.169.181.16","elite","AS34984","TR","Ates Dc","57","Ibrahim MALA trading as Ates Dc","4145","socks4","1255","1","2022-11-17T14:04:38.743Z","100","311","311"
"84.51.56.123","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","49","Dayigiyim","4145","socks4","1315","1","2022-11-17T14:04:54.578Z","100","310","310"
